n_processo;id_cliente;favor_contribuinte;ementa
2014/0156385-1;1;0;"PROCESSUAL CIVIL. EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM MANDADO DE SEGURANÇA. ICMS-ST. IMPETRAÇÃO CONTRA LEI EM TESE. AUSÊNCIA DE PROVA PRÉ-CONSTITUÍDA. ATO ATRIBUÍDO AO SECRETÁRIO DE ESTADO DE FAZENDA. ILEGITIMIDADE PASSIVA. ART. 1.022 DO CPC/2015. ERRO MATERIAL, OMISSÃO, CONTRADIÇÃO, OBSCURIDADE OU CARÊNCIA DE FUNDAMENTAÇÃO. AUSÊNCIA. PREQUESTIONAMENTO DE TEMAS CONSTITUCIONAIS. IMPOSSIBILIDADE. 1. Os embargos declaratórios, nos termos do art. 1.022, e seus incisos, do CPC/2015, são cabíveis quando houver: a) obscuridade; b) contradição; c) omissão no julgado, incluindo-se nesta as condutas descritas no art. 489, § 1º, que configurariam a carência de fundamentação válida; ou d) o erro material. No caso dos autos, tais hipóteses não estão presentes. 2. Ao contrário do que afirma a parte embargante, não se observa no julgado a alegada omissão, uma vez que ficou devidamente consignado no acórdão embargado que nem o Secretário de Estado da Fazenda nem o Governador de Estado detêm legitimidade para figurar como autoridade coatora em mandado de segurança em que se pretende evitar a prática de lançamentos fiscais, ainda que em caráter preventivo, não sendo aplicável a teoria da encampação do ato pela autoridade apontada como coatora, pois, na linha jurisprudencial desta Corte, tal configuraria indevida ampliação da regra de competência absoluta insculpida na Constituição da República. 3. Inexiste vício de fundamentação quando o aresto recorrido decide integralmente a controvérsia de maneira sólida e fundamentada, tal qual se constata no caso concreto. 4. A via declaratória não se presta ao exame de preceitos constitucionais, ainda que para fins de prequestionamento, sob pena de usurpação da competência do Supremo Tribunal Federal. Precedente (EDcl no RMS 26.528/RJ, Primeira Turma, Rel. Min. Denise Arruda, DJe 26/3/2009). 5. Embargos de declaração rejeitados."
2011/0259708-9;2;0;"PROCESSUAL CIVIL E TRIBUTÁRIO. AGRAVO REGIMENTAL NO RECURSO ESPECIAL. FIXAÇÃO DE ALÍQUOTA DA CONTRIBUIÇÃO AO SAT, A PARTIR DE PARÂMETROS ESTABELECIDOS POR REGULAMENTAÇÃO DO CONSELHO NACIONAL DE PREVIDÊNCIA SOCIAL. CONTROVÉRSIA DE NATUREZA CONSTITUCIONAL. INVIABILIDADE DO RECURSO ESPECIAL. AGRAVO REGIMENTAL IMPROVIDO. I. Tendo em vista o disposto nos arts. 102, III, e 105, III, da Constituição Federal, o Recurso Especial não serve à pretensão da recorrente, seja no tocante à suposta ilegitimidade do art. 10 da Lei 10.666/2003, seja no que se refere à arguição de ilegalidade, tanto das Resoluções 1.308 e 1.309, do Conselho Nacional de Previdência Social, quanto do art. 202-A do Decreto 3.048/99, com a redação dada pelo Decreto 6.957/2009, pois ambas as Turmas da Primeira Seção do Superior Tribunal de Justiça firmaram o entendimento de que a discussão sobre a alteração de alíquota da contribuição ao SAT, em função do Fator Acidentário de Prevenção (FAP), por norma constante de ato infralegal, é estritamente de natureza constitucional, entendimento esse reforçado pela circunstância de o Plenário do Supremo Tribunal Federal ter reconhecido a repercussão geral do tema, nos autos do Recurso Extraordinário 684.261/RS (Rel. Ministro LUIZ FUX, DJe de 01/07/2013). Nesse sentido: AgRg no AREsp 507.664/RN, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, DJe de 22/10/2014; AgRg no AREsp 417.936/MG, Rel. Ministro BENEDITO GONÇALVES, PRIMEIRA TURMA, DJe de 03/11/2014; AgRg no REsp 1.367.863/PR, Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, DJe de 19/12/2014; AgRg no REsp 1.343.220/RS, Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, DJe de 26/02/2013. II. Agravo Regimental improvido."
2016/0052997-8;2;0;PROCESSUAL CIVIL. TRIBUTÁRIO. CONTRIBUIÇÃO SOCIAL SOBRE FGTS. AUSÊNCIA DE VIOLAÇÃO DO ART. 535 DO CPC/73. OMISSÃO NÃO CARACTERIZADA. ACÓRDÃO FUNDAMENTADO EM MATÉRIA CONSTITUCIONAL. INVIABILIDADE DE ANÁLISE EM RECURSO ESPECIAL. I - No que se refere à alegada afronta ao disposto no art. 535, II, do CPC/1973, o julgado recorrido não padece de omissão, porque decidiu fundamentadamente a questão trazida à sua análise, não podendo ser considerado nulo tão somente porque contrário aos interesses da parte. II - É manifesto que a Corte Regional, ao julgar a controvérsia, fundou o seu entendimento em preceitos de natureza constitucional, o que afasta a possibilidade de análise da pretensão recursal em recurso especial. Assim, a competência só poderia ser atribuída ao Supremo Tribunal Federal, pelo recurso próprio, conforme o que dispõe o art. 102, III, da Constituição Federal. III - Agravo interno improvido.
2011/0086629-0;1;0;"PROCESSO CIVIL E TRIBUTÁRIO. GRATUIDADE DE JUSTIÇA. PESSOA JURÍDICA.
NECESSIDADE DE PROVA. INSUFICIÊNCIA DE DECLARAÇÃO DE POBREZA.
PRECEDENTE: ERESP. 1.185.828/RS DE RELATORIA DO MINISTRO CESAR ASFOR ROCHA, DJU 09/06/11. ENTENDIMENTO ADOTADO PELA CORTE ESPECIAL. A CORTE LOCAL AFIRMOU, EXPRESSAMENTE, QUE NÃO FICOU DEMONSTRADA A HIPOSSUFICIÊNCIA DA EMPRESA RECORRENTE. DESCONSTITUIR TAL FUNDAMENTO DEMANDA REEXAME DE PROVA. INCIDÊNCIA DA SÚMULA 7/STJ.
RESPONSABILIDADE DO SÓCIO ALVO DO REDIRECIONAMENTO. DISSOLUÇÃO IRREGULARMENTE PRESUMIDA. INCIDÊNCIA DA SÚMULA 435/STJ. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.
1. Quanto à concessão do benefício da assistência judiciária gratuita, conforme o disposto na Lei 1.060/50, a Corte Especial, no julgamento do EREsp. 1.185.828/RS de Relatoria do Ministro CESAR ASFOR ROCHA, DJU 09/06/11, consolidou entendimento segundo o qual as pessoas jurídicas podem ser beneficiárias da justiça gratuita de que trata a dita lei, desde que comprovem a impossibilidade de pagamento dos encargos do processo, sem comprometer a sua existência.
2. É possível o redirecionamento da execução tributária na pessoa do sócio responsável, quando a empresa deixar de funcionar no seu domicílio fiscal, sem comunicação aos órgãos competentes, legitimando o redirecionamento da execução fiscal para o sócio-gerente, nos termos da Súmula 435 do STJ, que estabelece a presença relativa de tal evento.
3. Agravo Regimental a que se nega provimento.
(AgRg nos EDcl no AREsp 25.386/MG, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, PRIMEIRA TURMA, julgado em 22/10/2013, DJe 05/11/2013)"
2016/0247138-0;1;0;"TRIBUTÁRIO E PROCESSUAL CIVIL. AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL. IMPOSTO DE RENDA. AUSÊNCIA DE SIMILITUDE FÁTICA ENTRE OS ACÓRDÃOS CONFRONTADOS. AGRAVO INTERNO. RECURSO QUE NÃO IMPUGNA, ESPECIFICAMENTE, OS FUNDAMENTOS DA DECISÃO AGRAVADA. SÚMULA 182/STJ. ALEGAÇÃO DE SUFICIÊNCIA DAS PROVAS APRESENTADAS NÃO ACOLHIDA, PELO TRIBUNAL DE ORIGEM, DIANTE DO ACERVO FÁTICO DA CAUSA. REVISÃO. IMPOSSIBILIDADE. SÚMULA 7/STJ. AGRAVO INTERNO PARCIALMENTE CONHECIDO, E, NESSA PARTE, IMPROVIDO. I. Agravo interno aviado contra decisão monocrática, que julgara recurso interposto contra decisum publicado na vigência do CPC/2015. II. Na origem, trata-se de de Ação Declaratória de Inexistência de Relação Jurídico-Tributária, cumulada com repetição de indébito, pretendendo-se, em síntese, a declaração de inexistência de relação jurídico-tributária que obrigue os autores ao pagamento do imposto de renda incidente sobre o benefício complementar, pago pela FUNCEF, com a consequente repetição do indébito. III. Interposto Agravo interno com razões que não impugnam, especificamente, os fundamentos da decisão agravada - mormente quanto à ausência de similitude fática entre os acórdãos confrontados -, não prospera o inconformismo, quanto ao ponto, em face da Súmula 182 desta Corte. IV. O Tribunal de origem, à luz das provas dos autos, concluiu que ""a documentação apresentada pelos autores quer na ação cautelar, quer na ação de conhecimento, não comprova o período de suas contribuições ao plano de Previdência Privada, mas tão somente que suportam a atual incidência do imposto de renda sobre a complementação de aposentadoria recebida, devida por força da Lei n. 9.250/95"". V. Nesse contexto, considerando a fundamentação do acórdão objeto do Recurso Especial, os argumentos utilizados pela parte recorrente somente poderiam ter sua procedência verificada mediante o necessário reexame de matéria fática, não cabendo a esta Corte, a fim de alcançar conclusão diversa, reavaliar o conjunto probatório dos autos, em conformidade com a Súmula 7/STJ. VI. Agravo interno parcialmente conhecido, e, nessa parte, improvido."
2008/0170349-6;2;0;"TRIBUTÁRIO. PROCESSUAL CIVIL. AGRAVO REGIMENTAL NO RECURSO ESPECIAL. DESERÇÃO. ASSISTÊNCIA JUDICIÁRIA. PETIÇÃO APARTADA. NECESSIDADE. PRECEDENTE DA CORTE ESPECIAL. MASSA FALIDA. HIPOSSUFICIÊNCIA PRESUMIDA. INEXISTÊNCIA. 1. É de se reconhecer a deserção do recurso especial na hipótese em que não há nos autos qualquer comprovação do recolhimento do preparo, nem de que a parte tenha pleiteado o benefício da assistência judiciária e este tenha sido deferido nas instâncias ordinárias. 2. Não obstante exista a possibilidade de se requerer em qualquer tempo e grau de jurisdição os benefícios da justiça gratuita, quando pleiteado no curso do processo, o pedido deve ser formulado por petição avulsa e apensado aos autos principais, conforme preceitua o art. 6° da Lei n. 1.060/50, e não no próprio corpo do recurso, como ocorreu no presente caso (AgRg nos EAg 1345775/PI, Rel. Ministro João Otávio de Noronha, Corte Especial, DJe de 21/11/2012). 3. Ademais, o entendimento deste Tribunal Superior se firmou no sentido de que ""Não é presumível a existência de dificuldade financeira da empresa em face de sua insolvabilidade pela decretação da falência para justificar a concessão dos benefícios da justiça gratuita."" (REsp 1075767/MG, Rel. Ministro Castro Meira, Segunda Turma, DJe 18/12/2008). Precedente: EREsp 855.020/PR, Rel. Ministro Benedito Gonçalves, Primeira Seção, DJe 06/11/2009. 4. Agravo regimental a que se nega provimento."
2015/0009442-9;2;0;"TRIBUTÁRIO E PROCESSUAL CIVIL. AGRAVO REGIMENTAL NO RECURSO ESPECIAL. ACÓRDÃO RECORRIDO. OFENSA AO ART. 535 DO CPC/73. INEXISTÊNCIA. EXECUÇÃO FISCAL. PENHORA. SUBSTITUIÇÃO. OPOSIÇÃO DA FAZENDA PÚBLICA. VIOLAÇÃO AO PRINCÍPIO DA MENOR ONEROSIDADE. REEXAME DE PROVAS. SÚMULA 7/STJ. AGRAVO REGIMENTAL IMPROVIDO. I. Agravo Regimental aviado contra decisão que julgara Recurso Especial interposto contra acórdão publicado na vigência do CPC/73. II. Não há falar, na hipótese, em violação ao art. 535 do CPC/73, porquanto a prestação jurisdicional foi dada na medida da pretensão deduzida, de vez que o voto condutor do acórdão recorrido apreciou fundamentadamente, de modo coerente e completo, as questões necessárias à solução da controvérsia, dando-lhes, contudo, solução jurídica diversa da pretendida. III. Na forma da jurisprudência do STJ, ""a Fazenda Pública pode recusar a nomeação de determinado bem oferecido à penhora, quando fundar-se na inobservância da ordem legal ou revelar-se de difícil ou onerosa alienação, prevista no art. 655 do CPC e no art. 11 da Lei 6.830/1980, sem que isso implique ofensa ao art. 620 do CPC"" (STJ, REsp 1.663.444/RJ, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe de 16/06/2017). IV. O Tribunal a quo, ao decidir pelo indeferimento do pedido de substituição da penhora formulado pela executada, assentou que ""não se pode obrigar a exequente a aceitar bem de notória iliquidez ou de difícil e incerta alienação"". Assim, os argumentos utilizados pela parte recorrente - relativos à não observância do princípio da menor onerosidade da execução, insculpido no art. 620 do CPC/73, devido à efetiva liquidez e suficiência do bem oferecido à penhora - somente poderiam ter sua procedência verificada mediante o necessário reexame de matéria fática, não cabendo a esta Corte, a fim de alcançar conclusão diversa, reavaliar o conjunto probatório dos autos, em conformidade com a Súmula 7/STJ. V. Agravo Regimental improvido."
2016/0085291-0;3;2;"PROCESSUAL CIVIL. TRIBUTÁRIO. EXECUÇÃO FISCAL. DECISÃO QUE EXCLUI LITISCONSORTE. RECURSO CABÍVEL. AGRAVO DE INSTRUMENTO. INTERPOSIÇÃO DE APELAÇÃO. ERRO GROSSEIRO. NÃO APLICAÇÃO DO PRINCÍPIO DA FUNGIBILIDADE RECURSAL. INCIDÊNCIA DAS SÚMULAS 83 E 568/STJ.
DISSÍDIO JURISPRUDENCIAL NÃO DEMONSTRADO.
1. Segundo pacífico entendimento do Superior Tribunal de Justiça, a decisão que exclui do processo um dos litisconsortes, prosseguindo-se a execução fiscal com relação aos demais executados, é recorrível por meio de agravo de instrumento, caracterizando-se erro grosseiro a interposição de apelação, não se aplicando, portanto, o princípio da fungibilidade recursal.
2. É firme a jurisprudência desta Corte de que a Súmula 83/STJ não se aplica apenas aos recursos especiais interpostos com fundamento na alínea ""c"" do art. 105, III, da CF, sendo aplicável também aos recursos fundados na alínea ""a"".
3. A incidência da Súmula 83/STJ impede a análise do dissídio jurisprudencial. Precedentes.
Agravo interno improvido.
(AgInt no AREsp 895.402/SP, Rel. Ministro HUMBERTO MARTINS, SEGUNDA TURMA, julgado em 23/08/2016, DJe 30/08/2016)"
2018/0276917-0;5;0;"TRIBUTÁRIO. CONTRIBUIÇÃO PREVIDENCIÁRIA. HORAS-EXTRAS. SALÁRIO-MATERNIDADE. SALÁRIO-PATERNIDADE. ADICIONAL DE PERICULOSIDADE. ADICIONAL NOTURNO. REPOUSO SEMANAL REMUNERADO. ADICIONAL DE INSALUBRIDADE. FÉRIAS GOZADAS. DÉCIMO TERCEIRO SALÁRIO PROPORCIONAL AO AVISO PRÉVIO INDENIZADO. INCIDÊNCIA. 1. No julgamento dos Recursos Especiais repetitivos 1.230.957/RS e 1.358.281/SP, a Primeira Seção firmou a compreensão de que incide contribuição previdenciária patronal sobre as seguintes verbas: salário-maternidade, salário-paternidade, horas-extras, adicional de periculosidade e adicional noturno. 2. No que tange às demais verbas (repouso semanal remunerado, adicional de insalubridade, férias gozadas e décimo terceiro proporcional ao aviso prévio indenizado), também é pacífico o entendimento do STJ quanto à incidência da contribuição previdenciária patronal. Precedentes: AgInt nos EDcl no REsp 1.693.428/RS, Rel. Min. Mauro Campbell Marques, Segunda Turma, DJe 11.5.2018; AgInt no REsp 1.661.525/CE, Rel. Min. Regina Helena Costa, Primeira Turma, DJe 26.4.2018; REsp 1.719.970/AM, Rel. Min. Og Fernandes, Segunda Turma, DJe 21.3.2018; AgInt no REsp 1.643.425/RS, Rel. Min. Francisco Falcão, Segunda Turma, DJe 17.8.2017; AgInt nos EDcl no REsp 1.572.102/PR, Rel. Min. Og Fernandes, Segunda Turma, DJe 15.5.2017; AgRg no REsp 1.530.494/SC, Rel. Min. Sérgio Kukina, Primeira Turma, DJe 29.3.2016; REsp 1.531.122/PR, Rel. Min. Mauro Campbell Marques, Segunda Turma, DJe 29.2.2016; AgRg nos EDcl no REsp 1.489.671/PR, Rel. Min. Benedito Gonçalves, Primeira Turma, DJe 13.11.2015; REsp 1.444.203/SC, Rel. Min. Humberto Martins, Segunda Turma, DJe 24.6.2014. 3. O aresto vergastado está em sintonia com o atual entendimento do STJ, razão pela qual incide o princípio estabelecido na Súmula 83/STJ: ""Não se conhece do Recurso Especial pela divergência, quando a orientação do Tribunal se firmou no mesmo sentido da decisão recorrida"". 4. A referida orientação é aplicável também aos recursos interpostos pela alínea ""a"" do inciso III do art. 105 da Constituição Federal. Nesse sentido: AgRg no AREsp 677.039/SC, Rel. Min. Luis Felipe Salomão, Quarta Turma, DJe 5.5.2015; AgRg nos EDcl no REsp 1.459.299/DF, Rel. Min. Ricardo Villas Bôas Cueva, Terceira Turma, DJe 31.3.2015. 5. Recurso Especial não provido."
2010/0055402-0;3;0;"PROCESSO CIVIL. ADMINISTRATIVO. MANDADO DE SEGURANÇA. ANISTIADO POLÍTICO. REPARAÇÃO ECONÔMICA. INCORPORAÇÃO DE QUINTOS. EXERCÍCIO DE CARGO COMISSIONADO. SECRETÁRIO DE ESTADO. ENTIDADES FEDERATIVAS DIVERSAS. NECESSIDADE DE DILAÇÃO PROBATÓRIA. COMPATIBILIDADE ENTRE OS REGIMES JURÍDICOS.
1. O mandado de segurança foi impetrado contra ato do Ministro de Estado da Justiça que indeferiu recurso administrativo interposto por anistiado político, a fim de incorporar à reparação econômica que lhe é devida - equivalente ao cargo de Fiscal de Rendas da Prefeitura de Rio Branco/AC - aos vencimentos de Secretário de Estado, valendo-se, para tanto, da regra contida no art. 62, §§ 2º e 3º, da Lei 8.112/90.
2. A Lei 10.559/02 estabeleceu que a reparação econômica será assegurada aos anistiados políticos que comprovarem vínculos com a atividade laboral e equivalerá ao da remuneração que aqueles receberiam se na ativa estivessem, observada a legislação aplicável e as peculiaridades dos regimes dos servidores públicos civis e militares.
3. No caso, o impetrante não trouxe qualquer disposição a respeito do período em que exerceu a função de Secretário de Estado, nem sobre as razões pelas quais foi destituído desse cargo e, muito menos, sobre a compatibilidade do regime jurídico dos servidores do Município de Rio Branco/AC com o regramento contido no art. 62, §§ 2º e 3º, da Lei n. 8.112/90, de modo que o exame da pretensão inicial demanda dilação probatória, providência que é descabida no âmbito do mandado de segurança.
4. A jurisprudência do STJ já reconheceu o descabimento da ação mandamental para se postular a inclusão de verbas não abarcadas na portaria de anistia, por tal providência demandar, em regra, instrução probatória. Precedentes: MS 13.530/DF, Rel. Min. Eliana Calmon, DJe 15/9/08. AgMS 11.407/DF, Rel. Min. Hamilton Carvalhido, DJU 5/2/07. MS 15.311/DF, Rel. Min. Mauro Campbell Marques, DJe 2/4/14.
5. Agravo regimental a que se nega provimento.
(AgRg no MS 15.143/DF, Rel. Ministro OG FERNANDES, PRIMEIRA SEÇÃO, julgado em 24/09/2014, DJe 02/10/2014)"
